CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ      MHZ
  0    0      0    0 0:0:0:0          yes 4600.0000 800.0000 4253.378
  1    0      0    1 1:1:1:0          yes 4600.0000 800.0000 1039.766
  2    0      0    2 2:2:2:0          yes 4600.0000 800.0000 2761.972
  3    0      0    3 3:3:3:0          yes 4600.0000 800.0000 4149.816
  4    0      0    4 4:4:4:0          yes 4600.0000 800.0000 4232.566
  5    0      0    5 5:5:5:0          yes 4600.0000 800.0000 2515.110
  6    0      0    6 6:6:6:0          yes 4600.0000 800.0000  800.000
  7    0      0    7 7:7:7:0          yes 4600.0000 800.0000 1156.297
  8    0      0    0 0:0:0:0          yes 4600.0000 800.0000 1316.152
  9    0      0    1 1:1:1:0          yes 4600.0000 800.0000 2071.990
 10    0      0    2 2:2:2:0          yes 4600.0000 800.0000  799.775
 11    0      0    3 3:3:3:0          yes 4600.0000 800.0000 2071.824
 12    0      0    4 4:4:4:0          yes 4600.0000 800.0000  800.841
 13    0      0    5 5:5:5:0          yes 4600.0000 800.0000 1471.052
 14    0      0    6 6:6:6:0          yes 4600.0000 800.0000 4563.434
 15    0      0    7 7:7:7:0          yes 4600.0000 800.0000 4379.565
