USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           2  0.0  0.0      0     0 ?        S    09:14   0:00 [kthreadd]
root        7214  0.4  0.0      0     0 ?        I    09:56   0:06  \_ [kworker/9:1-events]
root       14060  0.4  0.0      0     0 ?        I    10:17   0:01  \_ [kworker/9:0-i915-unordered]
root        8174  0.3  0.0      0     0 ?        I<   10:03   0:03  \_ [kworker/u33:1-hci0]
root        6936  0.2  0.0      0     0 ?        I<   09:54   0:05  \_ [kworker/u33:2-i915_flip]
root        6924  0.1  0.0      0     0 ?        I<   09:53   0:03  \_ [kworker/u33:0-rb_allocator]
root       10143  0.1  0.0      0     0 ?        D<   10:08   0:01  \_ [kworker/u33:3+i915_flip]
root       14528  0.1  0.0      0     0 ?        I<   10:18   0:00  \_ [kworker/u33:4-rb_allocator]
root           3  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-rcu_g]
root           5  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-rcu_p]
root           6  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-slub_]
root           7  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-netns]
root           9  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/0:0H-events_highpri]
root          12  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/R-mm_pe]
root          13  0.0  0.0      0     0 ?        I    09:14   0:00  \_ [rcu_tasks_kthread]
root          14  0.0  0.0      0     0 ?        I    09:14   0:00  \_ [rcu_tasks_rude_kthread]
root          15  0.0  0.0      0     0 ?        I    09:14   0:00  \_ [rcu_tasks_trace_kthread]
root          16  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [ksoftirqd/0]
root          17  0.0  0.0      0     0 ?        I    09:14   0:01  \_ [rcu_preempt]
root          18  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [migration/0]
root          19  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [idle_inject/0]
root          20  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [cpuhp/0]
root          21  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [cpuhp/1]
root          22  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [idle_inject/1]
root          23  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [migration/1]
root          24  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [ksoftirqd/1]
root          26  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/1:0H-events_highpri]
root          27  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [cpuhp/2]
root          28  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [idle_inject/2]
root          29  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [migration/2]
root          30  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [ksoftirqd/2]
root          32  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/2:0H-events_highpri]
root          33  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [cpuhp/3]
root          34  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [idle_inject/3]
root          35  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [migration/3]
root          36  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [ksoftirqd/3]
root          38  0.0  0.0      0     0 ?        I<   09:14   0:00  \_ [kworker/3:0H-events_highpri]
root          39  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [cpuhp/4]
root          40  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [idle_inject/4]
root          41  0.0  0.0      0     0 ?        S    09:14   0:00  \_ [migration/4]
